segment_name,confidence_assessment,openface_dominant_emotion_approx,openface_emotion_scores,openface_au_means,openface_AU01_r,openface_AU02_r,openface_AU04_r,openface_AU05_r,openface_AU06_r,openface_AU07_r,openface_AU09_r,openface_AU10_r,openface_AU12_r,openface_AU14_r,openface_AU15_r,openface_AU17_r,openface_AU20_r,openface_AU23_r,openface_AU25_r,openface_AU26_r,openface_AU45_r,openface_happy,openface_surprised,openface_angry,openface_sad
jMVAgCPYYHY_seg015,2.0,sad,"{'AU01_r': 0.302, 'AU02_r': 0.141, 'AU04_r': 0.294, 'AU05_r': 0.063, 'AU06_r': 0.467, 'AU07_r': 0.598, 'AU09_r': 0.121, 'AU10_r': 0.25, 'AU12_r': 0.079, 'AU14_r': 0.126, 'AU15_r': 0.588, 'AU17_r': 0.762, 'AU20_r': 0.123, 'AU23_r': 0.522, 'AU25_r': 0.538, 'AU26_r': 0.831, 'AU45_r': 0.231}","{'happy': 0.079, 'surprised': 0.442, 'angry': 0.294, 'sad': 0.588}",0.302,0.141,0.294,0.063,0.467,0.598,0.121,0.25,0.079,0.126,0.588,0.762,0.123,0.522,0.538,0.831,0.231,0.079,0.442,0.294,0.588
jMVAgCPYYHY_seg016,2.0,surprised,"{'AU01_r': 0.305, 'AU02_r': 0.133, 'AU04_r': 0.371, 'AU05_r': 0.07, 'AU06_r': 0.562, 'AU07_r': 0.802, 'AU09_r': 0.075, 'AU10_r': 0.301, 'AU12_r': 0.108, 'AU14_r': 0.105, 'AU15_r': 0.384, 'AU17_r': 0.776, 'AU20_r': 0.122, 'AU23_r': 0.345, 'AU25_r': 0.626, 'AU26_r': 0.735, 'AU45_r': 0.277}","{'happy': 0.108, 'surprised': 0.438, 'angry': 0.371, 'sad': 0.384}",0.305,0.133,0.371,0.07,0.562,0.802,0.075,0.301,0.108,0.105,0.384,0.776,0.122,0.345,0.626,0.735,0.277,0.108,0.438,0.371,0.384
jQ95xlZeHo8_seg000,3.0,angry,"{'AU01_r': 0.192, 'AU02_r': 0.112, 'AU04_r': 0.507, 'AU05_r': 0.06, 'AU06_r': 0.396, 'AU07_r': 0.211, 'AU09_r': 0.055, 'AU10_r': 0.395, 'AU12_r': 0.313, 'AU14_r': 0.52, 'AU15_r': 0.122, 'AU17_r': 0.424, 'AU20_r': 0.104, 'AU23_r': 0.123, 'AU25_r': 0.499, 'AU26_r': 0.323, 'AU45_r': 0.233}","{'happy': 0.313, 'surprised': 0.304, 'angry': 0.507, 'sad': 0.122}",0.192,0.112,0.507,0.06,0.396,0.211,0.055,0.395,0.313,0.52,0.122,0.424,0.104,0.123,0.499,0.323,0.233,0.313,0.304,0.507,0.122
jQ95xlZeHo8_seg001,3.0,happy,"{'AU01_r': 0.104, 'AU02_r': 0.05, 'AU04_r': 0.132, 'AU05_r': 0.04, 'AU06_r': 0.23, 'AU07_r': 0.145, 'AU09_r': 0.037, 'AU10_r': 0.249, 'AU12_r': 0.238, 'AU14_r': 0.37, 'AU15_r': 0.08, 'AU17_r': 0.253, 'AU20_r': 0.065, 'AU23_r': 0.072, 'AU25_r': 0.424, 'AU26_r': 0.251, 'AU45_r': 0.134}","{'happy': 0.238, 'surprised': 0.154, 'angry': 0.132, 'sad': 0.08}",0.104,0.05,0.132,0.04,0.23,0.145,0.037,0.249,0.238,0.37,0.08,0.253,0.065,0.072,0.424,0.251,0.134,0.238,0.154,0.132,0.08
jQ95xlZeHo8_seg002,3.0,angry,"{'AU01_r': 0.236, 'AU02_r': 0.147, 'AU04_r': 0.507, 'AU05_r': 0.047, 'AU06_r': 0.423, 'AU07_r': 0.346, 'AU09_r': 0.089, 'AU10_r': 0.36, 'AU12_r': 0.418, 'AU14_r': 0.333, 'AU15_r': 0.212, 'AU17_r': 0.468, 'AU20_r': 0.12, 'AU23_r': 0.152, 'AU25_r': 0.402, 'AU26_r': 0.341, 'AU45_r': 0.13}","{'happy': 0.418, 'surprised': 0.383, 'angry': 0.507, 'sad': 0.212}",0.236,0.147,0.507,0.047,0.423,0.346,0.089,0.36,0.418,0.333,0.212,0.468,0.12,0.152,0.402,0.341,0.13,0.418,0.383,0.507,0.212
jQ95xlZeHo8_seg003,3.0,sad,"{'AU01_r': 0.037, 'AU02_r': 0.012, 'AU04_r': 0.086, 'AU05_r': 0.015, 'AU06_r': 0.089, 'AU07_r': 0.074, 'AU09_r': 0.02, 'AU10_r': 0.165, 'AU12_r': 0.056, 'AU14_r': 0.045, 'AU15_r': 0.166, 'AU17_r': 0.172, 'AU20_r': 0.024, 'AU23_r': 0.078, 'AU25_r': 0.139, 'AU26_r': 0.11, 'AU45_r': 0.066}","{'happy': 0.056, 'surprised': 0.048, 'angry': 0.086, 'sad': 0.166}",0.037,0.012,0.086,0.015,0.089,0.074,0.02,0.165,0.056,0.045,0.166,0.172,0.024,0.078,0.139,0.11,0.066,0.056,0.048,0.086,0.166
jQ95xlZeHo8_seg004,3.0,happy,"{'AU01_r': 0.174, 'AU02_r': 0.138, 'AU04_r': 0.436, 'AU05_r': 0.09, 'AU06_r': 0.463, 'AU07_r': 0.324, 'AU09_r': 0.066, 'AU10_r': 0.38, 'AU12_r': 0.634, 'AU14_r': 0.509, 'AU15_r': 0.253, 'AU17_r': 0.52, 'AU20_r': 0.09, 'AU23_r': 0.096, 'AU25_r': 0.816, 'AU26_r': 0.623, 'AU45_r': 0.17}","{'happy': 0.634, 'surprised': 0.313, 'angry': 0.436, 'sad': 0.253}",0.174,0.138,0.436,0.09,0.463,0.324,0.066,0.38,0.634,0.509,0.253,0.52,0.09,0.096,0.816,0.623,0.17,0.634,0.313,0.436,0.253
jQ95xlZeHo8_seg005,2.0,sad,"{'AU01_r': 0.167, 'AU02_r': 0.156, 'AU04_r': 0.32, 'AU05_r': 0.1, 'AU06_r': 0.537, 'AU07_r': 0.59, 'AU09_r': 0.112, 'AU10_r': 0.665, 'AU12_r': 0.571, 'AU14_r': 0.523, 'AU15_r': 0.684, 'AU17_r': 0.761, 'AU20_r': 0.193, 'AU23_r': 0.244, 'AU25_r': 0.747, 'AU26_r': 0.534, 'AU45_r': 0.193}","{'happy': 0.571, 'surprised': 0.323, 'angry': 0.32, 'sad': 0.684}",0.167,0.156,0.32,0.1,0.537,0.59,0.112,0.665,0.571,0.523,0.684,0.761,0.193,0.244,0.747,0.534,0.193,0.571,0.323,0.32,0.684
jQ95xlZeHo8_seg006,2.0,sad,"{'AU01_r': 0.172, 'AU02_r': 0.118, 'AU04_r': 0.315, 'AU05_r': 0.04, 'AU06_r': 0.195, 'AU07_r': 0.305, 'AU09_r': 0.039, 'AU10_r': 0.436, 'AU12_r': 0.282, 'AU14_r': 0.483, 'AU15_r': 0.32, 'AU17_r': 0.484, 'AU20_r': 0.165, 'AU23_r': 0.069, 'AU25_r': 0.652, 'AU26_r': 0.486, 'AU45_r': 0.122}","{'happy': 0.282, 'surprised': 0.291, 'angry': 0.315, 'sad': 0.32}",0.172,0.118,0.315,0.04,0.195,0.305,0.039,0.436,0.282,0.483,0.32,0.484,0.165,0.069,0.652,0.486,0.122,0.282,0.291,0.315,0.32
jQ95xlZeHo8_seg007,3.0,happy,"{'AU01_r': 0.107, 'AU02_r': 0.075, 'AU04_r': 0.167, 'AU05_r': 0.038, 'AU06_r': 0.386, 'AU07_r': 0.264, 'AU09_r': 0.038, 'AU10_r': 0.406, 'AU12_r': 0.444, 'AU14_r': 0.357, 'AU15_r': 0.095, 'AU17_r': 0.349, 'AU20_r': 0.074, 'AU23_r': 0.087, 'AU25_r': 0.449, 'AU26_r': 0.346, 'AU45_r': 0.116}","{'happy': 0.444, 'surprised': 0.182, 'angry': 0.167, 'sad': 0.095}",0.107,0.075,0.167,0.038,0.386,0.264,0.038,0.406,0.444,0.357,0.095,0.349,0.074,0.087,0.449,0.346,0.116,0.444,0.182,0.167,0.095
jQ95xlZeHo8_seg008,2.0,sad,"{'AU01_r': 0.123, 'AU02_r': 0.098, 'AU04_r': 0.334, 'AU05_r': 0.055, 'AU06_r': 0.258, 'AU07_r': 0.43, 'AU09_r': 0.054, 'AU10_r': 0.375, 'AU12_r': 0.329, 'AU14_r': 0.381, 'AU15_r': 1.028, 'AU17_r': 0.417, 'AU20_r': 0.111, 'AU23_r': 0.117, 'AU25_r': 0.599, 'AU26_r': 0.432, 'AU45_r': 0.166}","{'happy': 0.329, 'surprised': 0.221, 'angry': 0.334, 'sad': 1.028}",0.123,0.098,0.334,0.055,0.258,0.43,0.054,0.375,0.329,0.381,1.028,0.417,0.111,0.117,0.599,0.432,0.166,0.329,0.221,0.334,1.028
jQ95xlZeHo8_seg009,3.0,happy,"{'AU01_r': 0.289, 'AU02_r': 0.134, 'AU04_r': 0.232, 'AU05_r': 0.055, 'AU06_r': 0.459, 'AU07_r': 0.319, 'AU09_r': 0.191, 'AU10_r': 0.393, 'AU12_r': 0.479, 'AU14_r': 0.536, 'AU15_r': 0.306, 'AU17_r': 0.837, 'AU20_r': 0.339, 'AU23_r': 0.236, 'AU25_r': 0.781, 'AU26_r': 0.453, 'AU45_r': 0.198}","{'happy': 0.479, 'surprised': 0.422, 'angry': 0.232, 'sad': 0.306}",0.289,0.134,0.232,0.055,0.459,0.319,0.191,0.393,0.479,0.536,0.306,0.837,0.339,0.236,0.781,0.453,0.198,0.479,0.422,0.232,0.306
Ks-_Mh1QhMc_seg000,3.0,angry,"{'AU01_r': 0.258, 'AU02_r': 0.12, 'AU04_r': 0.875, 'AU05_r': 0.078, 'AU06_r': 0.204, 'AU07_r': 0.492, 'AU09_r': 0.2, 'AU10_r': 0.748, 'AU12_r': 0.485, 'AU14_r': 0.203, 'AU15_r': 0.305, 'AU17_r': 0.74, 'AU20_r': 0.215, 'AU23_r': 0.297, 'AU25_r': 0.587, 'AU26_r': 0.643, 'AU45_r': 0.192}","{'happy': 0.485, 'surprised': 0.378, 'angry': 0.875, 'sad': 0.305}",0.258,0.12,0.875,0.078,0.204,0.492,0.2,0.748,0.485,0.203,0.305,0.74,0.215,0.297,0.587,0.643,0.192,0.485,0.378,0.875,0.305
Ks-_Mh1QhMc_seg003,1.0,angry,"{'AU01_r': 0.28, 'AU02_r': 0.128, 'AU04_r': 0.819, 'AU05_r': 0.116, 'AU06_r': 0.289, 'AU07_r': 0.693, 'AU09_r': 0.092, 'AU10_r': 0.945, 'AU12_r': 0.532, 'AU14_r': 0.315, 'AU15_r': 0.365, 'AU17_r': 0.846, 'AU20_r': 0.264, 'AU23_r': 0.328, 'AU25_r': 0.626, 'AU26_r': 0.675, 'AU45_r': 0.265}","{'happy': 0.532, 'surprised': 0.408, 'angry': 0.819, 'sad': 0.365}",0.28,0.128,0.819,0.116,0.289,0.693,0.092,0.945,0.532,0.315,0.365,0.846,0.264,0.328,0.626,0.675,0.265,0.532,0.408,0.819,0.365
Ks-_Mh1QhMc_seg004,3.0,angry,"{'AU01_r': 0.162, 'AU02_r': 0.092, 'AU04_r': 0.565, 'AU05_r': 0.055, 'AU06_r': 0.211, 'AU07_r': 0.387, 'AU09_r': 0.121, 'AU10_r': 0.813, 'AU12_r': 0.4, 'AU14_r': 0.186, 'AU15_r': 0.344, 'AU17_r': 0.663, 'AU20_r': 0.236, 'AU23_r': 0.172, 'AU25_r': 0.476, 'AU26_r': 0.486, 'AU45_r': 0.199}","{'happy': 0.4, 'surprised': 0.254, 'angry': 0.565, 'sad': 0.344}",0.162,0.092,0.565,0.055,0.211,0.387,0.121,0.813,0.4,0.186,0.344,0.663,0.236,0.172,0.476,0.486,0.199,0.4,0.254,0.565,0.344
Ks-_Mh1QhMc_seg005,2.0,angry,"{'AU01_r': 0.419, 'AU02_r': 0.236, 'AU04_r': 1.184, 'AU05_r': 0.134, 'AU06_r': 0.552, 'AU07_r': 1.205, 'AU09_r': 0.192, 'AU10_r': 1.545, 'AU12_r': 1.014, 'AU14_r': 0.63, 'AU15_r': 0.338, 'AU17_r': 1.262, 'AU20_r': 0.28, 'AU23_r': 0.407, 'AU25_r': 0.755, 'AU26_r': 0.614, 'AU45_r': 0.444}","{'happy': 1.014, 'surprised': 0.654, 'angry': 1.184, 'sad': 0.338}",0.419,0.236,1.184,0.134,0.552,1.205,0.192,1.545,1.014,0.63,0.338,1.262,0.28,0.407,0.755,0.614,0.444,1.014,0.654,1.184,0.338
Ks-_Mh1QhMc_seg006,2.0,angry,"{'AU01_r': 0.271, 'AU02_r': 0.167, 'AU04_r': 0.68, 'AU05_r': 0.086, 'AU06_r': 0.355, 'AU07_r': 0.666, 'AU09_r': 0.12, 'AU10_r': 1.08, 'AU12_r': 0.549, 'AU14_r': 0.247, 'AU15_r': 0.432, 'AU17_r': 1.077, 'AU20_r': 0.247, 'AU23_r': 0.204, 'AU25_r': 0.589, 'AU26_r': 0.741, 'AU45_r': 0.235}","{'happy': 0.549, 'surprised': 0.438, 'angry': 0.68, 'sad': 0.432}",0.271,0.167,0.68,0.086,0.355,0.666,0.12,1.08,0.549,0.247,0.432,1.077,0.247,0.204,0.589,0.741,0.235,0.549,0.438,0.68,0.432
Ks-_Mh1QhMc_seg009,3.0,sad,"{'AU01_r': 0.187, 'AU02_r': 0.143, 'AU04_r': 0.365, 'AU05_r': 0.079, 'AU06_r': 0.202, 'AU07_r': 0.413, 'AU09_r': 0.029, 'AU10_r': 0.499, 'AU12_r': 0.243, 'AU14_r': 0.17, 'AU15_r': 0.369, 'AU17_r': 1.103, 'AU20_r': 0.087, 'AU23_r': 0.041, 'AU25_r': 0.884, 'AU26_r': 0.475, 'AU45_r': 0.245}","{'happy': 0.243, 'surprised': 0.329, 'angry': 0.365, 'sad': 0.369}",0.187,0.143,0.365,0.079,0.202,0.413,0.029,0.499,0.243,0.17,0.369,1.103,0.087,0.041,0.884,0.475,0.245,0.243,0.329,0.365,0.369
Ks-_Mh1QhMc_seg010,2.0,angry,"{'AU01_r': 0.285, 'AU02_r': 0.174, 'AU04_r': 0.649, 'AU05_r': 0.11, 'AU06_r': 0.314, 'AU07_r': 0.872, 'AU09_r': 0.122, 'AU10_r': 0.819, 'AU12_r': 0.465, 'AU14_r': 0.329, 'AU15_r': 0.229, 'AU17_r': 0.704, 'AU20_r': 0.182, 'AU23_r': 0.266, 'AU25_r': 0.599, 'AU26_r': 0.616, 'AU45_r': 0.269}","{'happy': 0.465, 'surprised': 0.46, 'angry': 0.649, 'sad': 0.229}",0.285,0.174,0.649,0.11,0.314,0.872,0.122,0.819,0.465,0.329,0.229,0.704,0.182,0.266,0.599,0.616,0.269,0.465,0.46,0.649,0.229
Ks-_Mh1QhMc_seg011,2.0,angry,"{'AU01_r': 0.285, 'AU02_r': 0.128, 'AU04_r': 0.727, 'AU05_r': 0.114, 'AU06_r': 0.297, 'AU07_r': 0.742, 'AU09_r': 0.171, 'AU10_r': 0.832, 'AU12_r': 0.497, 'AU14_r': 0.414, 'AU15_r': 0.337, 'AU17_r': 0.871, 'AU20_r': 0.2, 'AU23_r': 0.299, 'AU25_r': 0.54, 'AU26_r': 0.503, 'AU45_r': 0.243}","{'happy': 0.497, 'surprised': 0.413, 'angry': 0.727, 'sad': 0.337}",0.285,0.128,0.727,0.114,0.297,0.742,0.171,0.832,0.497,0.414,0.337,0.871,0.2,0.299,0.54,0.503,0.243,0.497,0.413,0.727,0.337
Ks-_Mh1QhMc_seg013,1.0,angry,"{'AU01_r': 0.267, 'AU02_r': 0.119, 'AU04_r': 0.839, 'AU05_r': 0.093, 'AU06_r': 0.293, 'AU07_r': 0.703, 'AU09_r': 0.138, 'AU10_r': 0.991, 'AU12_r': 0.458, 'AU14_r': 0.294, 'AU15_r': 0.234, 'AU17_r': 0.761, 'AU20_r': 0.16, 'AU23_r': 0.171, 'AU25_r': 0.51, 'AU26_r': 0.467, 'AU45_r': 0.247}","{'happy': 0.458, 'surprised': 0.386, 'angry': 0.839, 'sad': 0.234}",0.267,0.119,0.839,0.093,0.293,0.703,0.138,0.991,0.458,0.294,0.234,0.761,0.16,0.171,0.51,0.467,0.247,0.458,0.386,0.839,0.234
Ks-_Mh1QhMc_seg014,2.0,angry,"{'AU01_r': 0.224, 'AU02_r': 0.089, 'AU04_r': 0.519, 'AU05_r': 0.076, 'AU06_r': 0.26, 'AU07_r': 0.453, 'AU09_r': 0.098, 'AU10_r': 0.751, 'AU12_r': 0.467, 'AU14_r': 0.271, 'AU15_r': 0.293, 'AU17_r': 0.934, 'AU20_r': 0.321, 'AU23_r': 0.191, 'AU25_r': 0.546, 'AU26_r': 0.412, 'AU45_r': 0.33}","{'happy': 0.467, 'surprised': 0.312, 'angry': 0.519, 'sad': 0.293}",0.224,0.089,0.519,0.076,0.26,0.453,0.098,0.751,0.467,0.271,0.293,0.934,0.321,0.191,0.546,0.412,0.33,0.467,0.312,0.519,0.293
Ks-_Mh1QhMc_seg015,1.0,angry,"{'AU01_r': 0.378, 'AU02_r': 0.21, 'AU04_r': 1.293, 'AU05_r': 0.085, 'AU06_r': 0.317, 'AU07_r': 0.815, 'AU09_r': 0.24, 'AU10_r': 0.859, 'AU12_r': 0.393, 'AU14_r': 0.397, 'AU15_r': 0.385, 'AU17_r': 1.04, 'AU20_r': 0.268, 'AU23_r': 0.29, 'AU25_r': 0.681, 'AU26_r': 0.772, 'AU45_r': 0.361}","{'happy': 0.393, 'surprised': 0.588, 'angry': 1.293, 'sad': 0.385}",0.378,0.21,1.293,0.085,0.317,0.815,0.24,0.859,0.393,0.397,0.385,1.04,0.268,0.29,0.681,0.772,0.361,0.393,0.588,1.293,0.385
Ks-_Mh1QhMc_seg016,3.0,angry,"{'AU01_r': 0.269, 'AU02_r': 0.136, 'AU04_r': 0.811, 'AU05_r': 0.104, 'AU06_r': 0.367, 'AU07_r': 0.98, 'AU09_r': 0.109, 'AU10_r': 0.936, 'AU12_r': 0.527, 'AU14_r': 0.285, 'AU15_r': 0.198, 'AU17_r': 0.591, 'AU20_r': 0.166, 'AU23_r': 0.233, 'AU25_r': 0.469, 'AU26_r': 0.664, 'AU45_r': 0.221}","{'happy': 0.527, 'surprised': 0.405, 'angry': 0.811, 'sad': 0.198}",0.269,0.136,0.811,0.104,0.367,0.98,0.109,0.936,0.527,0.285,0.198,0.591,0.166,0.233,0.469,0.664,0.221,0.527,0.405,0.811,0.198
Ks-_Mh1QhMc_seg017,2.0,angry,"{'AU01_r': 0.427, 'AU02_r': 0.222, 'AU04_r': 1.263, 'AU05_r': 0.11, 'AU06_r': 0.356, 'AU07_r': 1.232, 'AU09_r': 0.195, 'AU10_r': 1.215, 'AU12_r': 0.699, 'AU14_r': 0.58, 'AU15_r': 0.237, 'AU17_r': 0.704, 'AU20_r': 0.235, 'AU23_r': 0.252, 'AU25_r': 0.634, 'AU26_r': 0.576, 'AU45_r': 0.357}","{'happy': 0.699, 'surprised': 0.649, 'angry': 1.263, 'sad': 0.237}",0.427,0.222,1.263,0.11,0.356,1.232,0.195,1.215,0.699,0.58,0.237,0.704,0.235,0.252,0.634,0.576,0.357,0.699,0.649,1.263,0.237
Ks-_Mh1QhMc_seg021,2.0,happy,"{'AU01_r': 0.0, 'AU02_r': 0.0, 'AU04_r': 0.0, 'AU05_r': 0.0, 'AU06_r': 0.0, 'AU07_r': 0.0, 'AU09_r': 0.0, 'AU10_r': 0.0, 'AU12_r': 0.0, 'AU14_r': 0.0, 'AU15_r': 0.0, 'AU17_r': 0.0, 'AU20_r': 0.0, 'AU23_r': 0.0, 'AU25_r': 0.0, 'AU26_r': 0.0, 'AU45_r': 0.0}","{'happy': 0.0, 'surprised': 0.0, 'angry': 0.0, 'sad': 0.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ks-_Mh1QhMc_seg022,2.0,angry,"{'AU01_r': 0.161, 'AU02_r': 0.077, 'AU04_r': 0.86, 'AU05_r': 0.064, 'AU06_r': 0.274, 'AU07_r': 0.58, 'AU09_r': 0.115, 'AU10_r': 0.602, 'AU12_r': 0.422, 'AU14_r': 0.566, 'AU15_r': 0.186, 'AU17_r': 0.402, 'AU20_r': 0.108, 'AU23_r': 0.192, 'AU25_r': 0.327, 'AU26_r': 0.55, 'AU45_r': 0.159}","{'happy': 0.422, 'surprised': 0.238, 'angry': 0.86, 'sad': 0.186}",0.161,0.077,0.86,0.064,0.274,0.58,0.115,0.602,0.422,0.566,0.186,0.402,0.108,0.192,0.327,0.55,0.159,0.422,0.238,0.86,0.186
Ks-_Mh1QhMc_seg023,2.0,angry,"{'AU01_r': 0.352, 'AU02_r': 0.193, 'AU04_r': 0.979, 'AU05_r': 0.102, 'AU06_r': 0.27, 'AU07_r': 0.896, 'AU09_r': 0.112, 'AU10_r': 0.716, 'AU12_r': 0.522, 'AU14_r': 0.493, 'AU15_r': 0.362, 'AU17_r': 0.526, 'AU20_r': 0.308, 'AU23_r': 0.246, 'AU25_r': 0.452, 'AU26_r': 0.509, 'AU45_r': 0.387}","{'happy': 0.522, 'surprised': 0.545, 'angry': 0.979, 'sad': 0.362}",0.352,0.193,0.979,0.102,0.27,0.896,0.112,0.716,0.522,0.493,0.362,0.526,0.308,0.246,0.452,0.509,0.387,0.522,0.545,0.979,0.362
Ks-_Mh1QhMc_seg024,2.0,surprised,"{'AU01_r': 0.164, 'AU02_r': 0.017, 'AU04_r': 0.089, 'AU05_r': 0.018, 'AU06_r': 0.015, 'AU07_r': 0.02, 'AU09_r': 0.072, 'AU10_r': 0.094, 'AU12_r': 0.106, 'AU14_r': 0.014, 'AU15_r': 0.069, 'AU17_r': 0.86, 'AU20_r': 0.036, 'AU23_r': 0.055, 'AU25_r': 0.303, 'AU26_r': 0.394, 'AU45_r': 0.175}","{'happy': 0.106, 'surprised': 0.181, 'angry': 0.089, 'sad': 0.069}",0.164,0.017,0.089,0.018,0.015,0.02,0.072,0.094,0.106,0.014,0.069,0.86,0.036,0.055,0.303,0.394,0.175,0.106,0.181,0.089,0.069
Ks-_Mh1QhMc_seg026,2.0,surprised,"{'AU01_r': 0.2, 'AU02_r': 0.186, 'AU04_r': 0.349, 'AU05_r': 0.056, 'AU06_r': 0.234, 'AU07_r': 0.559, 'AU09_r': 0.048, 'AU10_r': 0.553, 'AU12_r': 0.335, 'AU14_r': 0.225, 'AU15_r': 0.117, 'AU17_r': 0.481, 'AU20_r': 0.116, 'AU23_r': 0.088, 'AU25_r': 0.405, 'AU26_r': 0.425, 'AU45_r': 0.113}","{'happy': 0.335, 'surprised': 0.387, 'angry': 0.349, 'sad': 0.117}",0.2,0.186,0.349,0.056,0.234,0.559,0.048,0.553,0.335,0.225,0.117,0.481,0.116,0.088,0.405,0.425,0.113,0.335,0.387,0.349,0.117
Ks-_Mh1QhMc_seg027,3.0,angry,"{'AU01_r': 0.045, 'AU02_r': 0.017, 'AU04_r': 0.154, 'AU05_r': 0.025, 'AU06_r': 0.086, 'AU07_r': 0.171, 'AU09_r': 0.034, 'AU10_r': 0.173, 'AU12_r': 0.138, 'AU14_r': 0.066, 'AU15_r': 0.07, 'AU17_r': 0.197, 'AU20_r': 0.074, 'AU23_r': 0.062, 'AU25_r': 0.127, 'AU26_r': 0.139, 'AU45_r': 0.045}","{'happy': 0.138, 'surprised': 0.063, 'angry': 0.154, 'sad': 0.07}",0.045,0.017,0.154,0.025,0.086,0.171,0.034,0.173,0.138,0.066,0.07,0.197,0.074,0.062,0.127,0.139,0.045,0.138,0.063,0.154,0.07
Ks-_Mh1QhMc_seg028,2.0,angry,"{'AU01_r': 0.401, 'AU02_r': 0.232, 'AU04_r': 1.198, 'AU05_r': 0.178, 'AU06_r': 0.377, 'AU07_r': 0.88, 'AU09_r': 0.263, 'AU10_r': 1.001, 'AU12_r': 0.619, 'AU14_r': 0.55, 'AU15_r': 0.302, 'AU17_r': 0.824, 'AU20_r': 0.25, 'AU23_r': 0.245, 'AU25_r': 0.612, 'AU26_r': 0.643, 'AU45_r': 0.349}","{'happy': 0.619, 'surprised': 0.633, 'angry': 1.198, 'sad': 0.302}",0.401,0.232,1.198,0.178,0.377,0.88,0.263,1.001,0.619,0.55,0.302,0.824,0.25,0.245,0.612,0.643,0.349,0.619,0.633,1.198,0.302
Ks-_Mh1QhMc_seg029,3.0,angry,"{'AU01_r': 0.346, 'AU02_r': 0.215, 'AU04_r': 1.621, 'AU05_r': 0.091, 'AU06_r': 0.495, 'AU07_r': 1.285, 'AU09_r': 0.277, 'AU10_r': 1.178, 'AU12_r': 0.788, 'AU14_r': 0.805, 'AU15_r': 0.312, 'AU17_r': 0.789, 'AU20_r': 0.237, 'AU23_r': 0.309, 'AU25_r': 0.619, 'AU26_r': 0.71, 'AU45_r': 0.467}","{'happy': 0.788, 'surprised': 0.561, 'angry': 1.621, 'sad': 0.312}",0.346,0.215,1.621,0.091,0.495,1.285,0.277,1.178,0.788,0.805,0.312,0.789,0.237,0.309,0.619,0.71,0.467,0.788,0.561,1.621,0.312
Ks-_Mh1QhMc_seg030,3.0,angry,"{'AU01_r': 0.324, 'AU02_r': 0.167, 'AU04_r': 1.545, 'AU05_r': 0.129, 'AU06_r': 0.627, 'AU07_r': 1.513, 'AU09_r': 0.358, 'AU10_r': 1.344, 'AU12_r': 1.026, 'AU14_r': 1.224, 'AU15_r': 0.461, 'AU17_r': 0.864, 'AU20_r': 0.38, 'AU23_r': 0.307, 'AU25_r': 0.854, 'AU26_r': 0.718, 'AU45_r': 0.374}","{'happy': 1.026, 'surprised': 0.491, 'angry': 1.545, 'sad': 0.461}",0.324,0.167,1.545,0.129,0.627,1.513,0.358,1.344,1.026,1.224,0.461,0.864,0.38,0.307,0.854,0.718,0.374,1.026,0.491,1.545,0.461
Ks-_Mh1QhMc_seg031,3.0,angry,"{'AU01_r': 0.315, 'AU02_r': 0.199, 'AU04_r': 1.35, 'AU05_r': 0.161, 'AU06_r': 0.664, 'AU07_r': 1.476, 'AU09_r': 0.207, 'AU10_r': 1.482, 'AU12_r': 1.056, 'AU14_r': 0.959, 'AU15_r': 0.293, 'AU17_r': 0.777, 'AU20_r': 0.291, 'AU23_r': 0.31, 'AU25_r': 0.682, 'AU26_r': 0.655, 'AU45_r': 0.327}","{'happy': 1.056, 'surprised': 0.514, 'angry': 1.35, 'sad': 0.293}",0.315,0.199,1.35,0.161,0.664,1.476,0.207,1.482,1.056,0.959,0.293,0.777,0.291,0.31,0.682,0.655,0.327,1.056,0.514,1.35,0.293
Ks-_Mh1QhMc_seg032,0.0,angry,"{'AU01_r': 0.271, 'AU02_r': 0.171, 'AU04_r': 1.174, 'AU05_r': 0.114, 'AU06_r': 0.642, 'AU07_r': 1.292, 'AU09_r': 0.228, 'AU10_r': 1.646, 'AU12_r': 0.949, 'AU14_r': 0.779, 'AU15_r': 0.45, 'AU17_r': 1.264, 'AU20_r': 0.306, 'AU23_r': 0.328, 'AU25_r': 0.86, 'AU26_r': 0.564, 'AU45_r': 0.564}","{'happy': 0.949, 'surprised': 0.442, 'angry': 1.174, 'sad': 0.45}",0.271,0.171,1.174,0.114,0.642,1.292,0.228,1.646,0.949,0.779,0.45,1.264,0.306,0.328,0.86,0.564,0.564,0.949,0.442,1.174,0.45
